season,baseline_n,n_picks,wins,losses,win_pct,units,cume_units
2018,240,111,57,54,51.4,2.2133244495946123,2.2133244495946123
2019,240,110,55,55,50.0,-1.770418817478048,0.4429056321165643
2020,255,112,54,58,48.2,-5.686865850722811,-5.243960218606247
2021,272,114,67,47,58.8,18.821861303618057,13.57790108501181
2022,271,107,54,53,50.5,0.18298143712416604,13.760882522135976
2023,272,107,63,44,58.9,13.755190990593483,27.51607351272946
2024,272,97,54,43,55.7,7.277164512068499,34.79323802479796
2025,272,99,52,47,52.5,1.3794400786598129,36.17267810345777
