threshold,raw_n,raw_accuracy,raw_z_vs_50pct,raw_units,raw_roi,devig_n,devig_accuracy,devig_z_vs_50pct,devig_units,devig_roi
0.0,1570,0.5286624203821656,2.2751363745127593,50.083995281238344,0.03190063393709449,2094,0.5229226361031518,2.1000990203672267,35.982158354241825,0.017183456711672315
0.01,841,0.5469678953626635,2.736236865302848,59.58134636453347,0.07084583396496251,1262,0.5356576862123613,2.539919984860727,57.38716319752679,0.045473187953666235
0.02,360,0.5166666666666667,0.6328071892930062,7.073301187437694,0.019648058853993594,609,0.5402298850574713,1.9920386756050659,35.525300681368925,0.05833382706300316
0.03,123,0.5203252032520326,0.45120777186328653,3.7463210326891785,0.03045789457470877,224,0.5089285714285714,0.26730386391124517,0.5209155392812628,0.00232551580036278
0.04,35,0.5428571428571428,0.5089656694037216,2.879510104305292,0.08227171726586549,69,0.6086956521739131,1.850032174752388,13.943384673120853,0.20207803874088193
0.05,8,0.625,0.7302967433402214,1.8962216954829016,0.2370277119353627,13,0.5384615384615384,0.2781743201320932,0.8821476214088277,0.0678575093391406
0.07,0,,,0.0,,0,,,0.0,
0.1,0,,,0.0,,0,,,0.0,
