group,edge_bucket,n,min_edge,max_edge,accuracy,units,roi,edge_basis
RAW (vig-included) edge -- Home picks,1,130,-0.0082406301654594,-0.0026153594461798,0.5,-5.174980882938512,-0.03980754525337317,raw
RAW (vig-included) edge -- Home picks,2,130,-0.0025888610875886,0.0009741112944052,0.4307692307692308,-20.769180424598357,-0.15976292634306427,raw
RAW (vig-included) edge -- Home picks,3,129,0.0009752672832538,0.0061897651039845,0.5348837209302325,6.552547248022471,0.050794939907150935,raw
RAW (vig-included) edge -- Home picks,4,130,0.0062952593281714,0.0135937622730309,0.49230769230769234,-4.300282082119953,-0.033079092939384255,raw
RAW (vig-included) edge -- Home picks,5,130,0.0137008419725247,0.0522097403454669,0.5076923076923077,-0.8972071006633178,-0.006901593082025521,raw
RAW (vig-included) edge -- Away picks,1,289,-0.0081514808405363,-0.0001570741630897,0.5155709342560554,-2.867631122288654,-0.009922599039061087,raw
RAW (vig-included) edge -- Away picks,2,289,-9.896241911666048e-05,0.005792783832561,0.5017301038062284,-9.035473616092784,-0.031264614588556346,raw
RAW (vig-included) edge -- Away picks,3,289,0.0058068143940047,0.0121271619077747,0.5501730103806228,20.044274451439872,0.06935735104304454,raw
RAW (vig-included) edge -- Away picks,4,289,0.0122207442237723,0.0201070549181162,0.5882352941176471,41.378911143175166,0.14317962333278605,raw
RAW (vig-included) edge -- Away picks,5,289,0.0201070879151259,0.0650459592058881,0.5190311418685121,7.507711614804207,0.025978240881675458,raw
RAW (vig-included) edge -- Favorite picks,1,166,-0.0082406301654594,-0.0017800761960165,0.5602409638554217,13.011532146323363,0.0783827237730323,raw
RAW (vig-included) edge -- Favorite picks,2,165,-0.0017754370374448,0.0025287783940941,0.46060606060606063,-16.560896666448066,-0.10036907070574586,raw
RAW (vig-included) edge -- Favorite picks,3,166,0.0025874492127585,0.0076206075543306,0.5240963855421686,4.97804692702115,0.029988234500127407,raw
RAW (vig-included) edge -- Favorite picks,4,165,0.0076910193797771,0.0161099269642915,0.5393939393939394,8.90224910768472,0.053953024895058904,raw
RAW (vig-included) edge -- Favorite picks,5,166,0.0161699606839525,0.0559135929292654,0.39759036144578314,-34.5690984130341,-0.20824758080141023,raw
RAW (vig-included) edge -- Underdog picks,1,254,-0.0081498483759252,-0.0007106978998292,0.47244094488188976,-23.77259031168525,-0.09359287524285531,raw
RAW (vig-included) edge -- Underdog picks,2,253,-0.000686134529235,0.0052993847989232,0.5217391304347826,1.9094853668612355,0.007547372991546385,raw
RAW (vig-included) edge -- Underdog picks,3,253,0.0053190359051157,0.0115449592918955,0.5533596837944664,18.212998468721413,0.07198813624000558,raw
RAW (vig-included) edge -- Underdog picks,4,253,0.011550945744892,0.0196391815594891,0.5928853754940712,38.436786526249065,0.1519240574160042,raw
RAW (vig-included) edge -- Underdog picks,5,253,0.0196569062230398,0.0650459592058881,0.5533596837944664,21.890176077046593,0.08652243508714069,raw
DE-VIGGED edge (corrected) -- Home picks,1,131,4.322572451480599e-05,0.003037242381135,0.42748091603053434,-22.927232377706638,-0.1750170410511957,devigged
DE-VIGGED edge (corrected) -- Home picks,2,130,0.0030386846325359,0.0068403477173994,0.5153846153846153,0.3191428325714991,0.0024549448659346084,devigged
DE-VIGGED edge (corrected) -- Home picks,3,130,0.006847761293774,0.0112984484553674,0.5538461538461539,11.275478858821524,0.08673445276016557,devigged
DE-VIGGED edge (corrected) -- Home picks,4,130,0.011323845688532,0.0191816139405485,0.46153846153846156,-12.384039555868366,-0.09526184273744898,devigged
DE-VIGGED edge (corrected) -- Home picks,5,130,0.0191878424002279,0.0568385040288073,0.5153846153846153,0.6710161253859945,0.005161662502969189,devigged
DE-VIGGED edge (corrected) -- Away picks,1,289,9.233908362202558e-05,0.0059117068754755,0.5190311418685121,0.24172220498039088,0.0008364090137729788,devigged
DE-VIGGED edge (corrected) -- Away picks,2,288,0.0059243787679589,0.0116906665171589,0.53125,8.32630623659121,0.028910785543719477,devigged
DE-VIGGED edge (corrected) -- Away picks,3,289,0.0117162055938997,0.017826406592993,0.5363321799307958,10.396490525698884,0.03597401565985773,devigged
DE-VIGGED edge (corrected) -- Away picks,4,288,0.0178442060819257,0.0255623609845155,0.5729166666666666,33.7861238332241,0.11731292997647258,devigged
DE-VIGGED edge (corrected) -- Away picks,5,289,0.025567845874557,0.0693375151223988,0.5190311418685121,6.277149670543212,0.021720241074543987,devigged
DE-VIGGED edge (corrected) -- Favorite picks,1,166,7.274341895626145e-05,0.0039680944545784,0.5301204819277109,4.6523427870359715,0.028026161367686576,devigged
DE-VIGGED edge (corrected) -- Favorite picks,2,166,0.0040261676530312,0.0082929293111676,0.4939759036144578,-6.562865083833978,-0.03953533183032517,devigged
DE-VIGGED edge (corrected) -- Favorite picks,3,166,0.0083087606713624,0.013187382949866,0.5120481927710844,1.017979695433,0.006132407803813253,devigged
DE-VIGGED edge (corrected) -- Favorite picks,4,166,0.0132624816274925,0.0216173837109299,0.5,-4.360588453152052,-0.026268605139470193,devigged
DE-VIGGED edge (corrected) -- Favorite picks,5,166,0.0216509653089279,0.060473015319723,0.45180722891566266,-17.289024345552832,-0.10415074906959537,devigged
DE-VIGGED edge (corrected) -- Underdog picks,1,253,4.322572451480599e-05,0.0053792008452988,0.4743083003952569,-21.98432208497107,-0.08689455369553782,devigged
DE-VIGGED edge (corrected) -- Underdog picks,2,253,0.0054191815029635,0.0111784472221113,0.525691699604743,3.849525429235162,0.015215515530573763,devigged
DE-VIGGED edge (corrected) -- Underdog picks,3,252,0.0111827018004841,0.01753597380806,0.5674603174603174,24.27028404313172,0.09631065096480841,devigged
DE-VIGGED edge (corrected) -- Underdog picks,4,253,0.0175406563728945,0.0252570300559387,0.5652173913043478,25.313028171387238,0.10005149474856616,devigged
DE-VIGGED edge (corrected) -- Underdog picks,5,253,0.0252860254618724,0.0693375151223988,0.5652173913043478,27.075798195528655,0.107018965199718,devigged
