category,n_games,favorite_cover_rate,underdog_cover_rate,z_vs_50pct
all games (home or away favored),4065,0.4888068880688807,0.5111931119311193,-1.4276441380891622
home team favored,2555,0.48336594911937375,0.5166340508806262,-1.682534344198855
away team favored,1510,0.49801324503311256,0.5019867549668875,-0.15440672274828687
