column,dtype,pct_non_null,is_constant
away_def_sack_yards_allowed_ewma,float64,99.5,False
away_def_sack_yards_allowed_roll5,float64,99.5,False
away_def_sack_yards_matchup_ewma,float64,95.2,False
away_def_sack_yards_matchup_roll5,float64,95.2,False
away_def_sack_yards_produced_ewma,float64,95.2,False
away_def_sack_yards_produced_roll5,float64,95.2,False
away_def_sacks_allowed_ewma,float64,99.5,False
away_def_sacks_allowed_roll5,float64,99.5,False
away_def_sacks_matchup_ewma,float64,95.2,False
away_def_sacks_matchup_roll5,float64,95.2,False
away_def_sacks_produced_ewma,float64,95.2,False
away_def_sacks_produced_roll5,float64,95.2,False
away_def_safeties_allowed_ewma,float64,99.5,False
away_def_safeties_allowed_roll5,float64,99.5,False
away_def_safeties_matchup_ewma,float64,95.2,False
away_def_safeties_matchup_roll5,float64,95.2,False
away_def_safeties_produced_ewma,float64,95.2,False
away_def_safeties_produced_roll5,float64,95.2,False
away_def_tackle_assists_allowed_ewma,float64,99.5,False
away_def_tackle_assists_allowed_roll5,float64,99.5,False
away_def_tackle_assists_matchup_ewma,float64,95.2,False
away_def_tackle_assists_matchup_roll5,float64,95.2,False
away_def_tackle_assists_produced_ewma,float64,95.2,False
away_def_tackle_assists_produced_roll5,float64,95.2,False
away_def_tackles_for_loss_allowed_ewma,float64,99.5,False
away_def_tackles_for_loss_allowed_roll5,float64,99.5,False
away_def_tackles_for_loss_matchup_ewma,float64,95.2,False
away_def_tackles_for_loss_matchup_roll5,float64,95.2,False
away_def_tackles_for_loss_produced_ewma,float64,95.2,False
away_def_tackles_for_loss_produced_roll5,float64,95.2,False
away_def_tackles_for_loss_rate_allowed_ewma,float64,95.1,False
away_def_tackles_for_loss_rate_allowed_roll5,float64,95.1,False
away_def_tackles_for_loss_rate_matchup_ewma,float64,91.2,False
away_def_tackles_for_loss_rate_matchup_roll5,float64,91.2,False
away_def_tackles_for_loss_rate_produced_ewma,float64,95.1,False
away_def_tackles_for_loss_rate_produced_roll5,float64,95.1,False
away_def_tackles_for_loss_yards_allowed_ewma,float64,99.5,False
away_def_tackles_for_loss_yards_allowed_roll5,float64,99.5,False
away_def_tackles_for_loss_yards_matchup_ewma,float64,95.2,False
away_def_tackles_for_loss_yards_matchup_roll5,float64,95.2,False
away_def_tackles_for_loss_yards_produced_ewma,float64,95.2,False
away_def_tackles_for_loss_yards_produced_roll5,float64,95.2,False
away_def_tackles_solo_allowed_ewma,float64,99.5,False
away_def_tackles_solo_allowed_roll5,float64,99.5,False
away_def_tackles_solo_matchup_ewma,float64,95.2,False
away_def_tackles_solo_matchup_roll5,float64,95.2,False
away_def_tackles_solo_produced_ewma,float64,95.2,False
away_def_tackles_solo_produced_roll5,float64,95.2,False
away_def_tackles_with_assist_allowed_ewma,float64,99.5,False
away_def_tackles_with_assist_allowed_roll5,float64,99.5,False
away_def_tackles_with_assist_matchup_ewma,float64,95.2,False
away_def_tackles_with_assist_matchup_roll5,float64,95.2,False
away_def_tackles_with_assist_produced_ewma,float64,95.2,False
away_def_tackles_with_assist_produced_roll5,float64,95.2,False
away_def_tds_allowed_ewma,float64,99.5,False
away_def_tds_allowed_roll5,float64,99.5,False
away_def_tds_matchup_ewma,float64,95.2,False
away_def_tds_matchup_roll5,float64,95.2,False
away_def_tds_produced_ewma,float64,95.2,False
away_def_tds_produced_roll5,float64,95.2,False
away_fg_att_allowed_ewma,float64,99.5,False
away_fg_att_allowed_roll5,float64,99.5,False
away_fg_att_matchup_ewma,float64,95.2,False
away_fg_att_matchup_roll5,float64,95.2,False
away_fg_att_produced_ewma,float64,95.2,False
away_fg_att_produced_roll5,float64,95.2,False
away_fg_blocked_allowed_ewma,float64,99.5,False
away_fg_blocked_allowed_roll5,float64,99.5,False
away_fg_blocked_distance_allowed_ewma,float64,99.5,False
away_fg_blocked_distance_allowed_roll5,float64,99.5,False
away_fg_blocked_distance_matchup_ewma,float64,95.2,False
away_fg_blocked_distance_matchup_roll5,float64,95.2,False
away_fg_blocked_distance_produced_ewma,float64,95.2,False
away_fg_blocked_distance_produced_roll5,float64,95.2,False
away_fg_blocked_list_allowed_ewma,float64,83.9,False
away_fg_blocked_list_allowed_roll5,float64,15.4,False
