dimension,class,n,accuracy,z_vs_50pct,units,roi
Home vs Away,Away,657,0.5464231354642314,2.390161066129847,45.60723914034344,0.06941741117251665
Home vs Away,Home,200,0.485,-0.42445511650978895,-9.434561036885661,-0.047172805184428304
Favorite vs Underdog,Favorite,441,0.4875283446712018,-0.523972548842712,-18.53688907116758,-0.04203376206613964
Favorite vs Underdog,Underdog,416,0.5793269230769231,3.2774272443529973,54.70956717462535,0.13151338263131093
