dimension,class,n,accuracy,z_vs_50pct,units,roi
Home vs Away,Away,88,0.5681818181818182,1.2912662084375297,10.961448169502308,0.12456191101707169
Home vs Away,Home,26,0.6538461538461539,1.6489251797355795,7.860413134115749,0.30232358208137494
Favorite vs Underdog,Favorite,56,0.6071428571428571,1.6417025204876183,11.917477108097918,0.21281209121603425
Favorite vs Underdog,Underdog,58,0.5689655172413793,1.0605887444473874,6.904384195520137,0.11904110681931271
