edge_decile,n,min_edge,max_edge,mean_edge,mean_confidence,accuracy,units,roi,accuracy_se
1,210,-0.00824063016545941,-0.0036344802940626027,-0.005634785910107602,-0.005634785910107602,0.5571428571428572,14.275719915039105,0.06797961864304336,0.034277209829602875
2,209,-0.0036330443041846902,-0.0012782094484591721,-0.002388204264569096,-0.002388204264569096,0.4688995215311005,-19.371608049953775,-0.09268711985623816,0.03451875298100531
3,209,-0.001234385205743782,0.0013408084648748096,-1.8564852079204917e-05,-1.8564852079204917e-05,0.430622009569378,-35.008681253648426,-0.16750565193133218,0.03425116171283114
4,210,0.001343313533932633,0.004015554314274319,0.0026466794849928843,0.0026466794849928843,0.49047619047619045,-10.034752861116186,-0.047784537433886595,0.03449701830125213
5,209,0.004019310296332587,0.006998462988911302,0.005551676142006307,0.005551676142006307,0.583732057416268,28.479337583808416,0.13626477312826993,0.03409730956292374
6,209,0.007040868723729298,0.010039666347040687,0.008373376745256853,0.008373376745256853,0.5023923444976076,-4.760573430750279,-0.022777863305025257,0.03458532730125524
7,210,0.010060248629123069,0.013955533659386447,0.011991353805004257,0.011991353805004257,0.5857142857142857,29.791351844386167,0.1418635802113627,0.033992510465331416
8,209,0.013974748745968817,0.018290867927273323,0.016068900965981292,0.016068900965981292,0.5789473684210527,26.17094612693966,0.12521983792794097,0.034151878132792114
9,209,0.018309478301453977,0.024782216125266248,0.021360954677605168,0.021360954677605168,0.49760765550239233,-4.296440409893979,-0.02055713114781808,0.03458532730125524
10,210,0.024824678468170873,0.0650459592058881,0.03315089604286864,0.03315089604286864,0.5238095238095238,7.193389763929398,0.034254236971092374,0.03446413640265456
