season,week,game_id,picked_side,picked_favorite,edge,odds,correct,confidence,profit_if_win,profit
2018,1,2018_01_WAS_ARI,away,False,0.015087594839259696,-104.0,1,0.5127646065471206,0.9615384615384616,0.9615384615384616
2018,1,2018_01_BUF_BAL,away,False,0.019335441712269995,-106.0,0,0.521658430004409,0.9433962264150944,-1.0
2018,1,2018_01_DAL_CAR,home,True,7.902326775105495e-05,-121.0,1,0.5349137948947771,0.8264462809917356,0.8264462809917356
2018,1,2018_01_PIT_CLE,away,True,0.03854806924005065,105.0,0,0.5145286774374943,1.05,-1.0
2018,1,2018_01_SEA_DEN,away,False,0.04169439635894607,109.0,1,0.5089841159851143,1.09,1.09
2018,1,2018_01_NYJ_DET,away,False,0.011401686777610958,103.0,1,0.4918471090756667,1.03,1.03
2018,1,2018_01_CHI_GB,away,False,0.01320501492775432,-110.0,1,0.5248329219044985,0.9090909090909091,0.9090909090909091
2018,1,2018_01_CIN_IND,away,True,0.018180399067368434,102.0,1,0.5008890062377442,1.02,1.02
2018,1,2018_01_KC_LAC,away,False,0.0018547541693693075,-104.0,1,0.4995317658772303,0.9615384615384616,0.9615384615384616
2018,1,2018_01_TEN_MIA,away,True,0.010160137633602129,-107.0,0,0.5148067618611009,0.9345794392523364,-1.0
2018,1,2018_01_SF_MIN,home,True,0.00048571219585724076,-108.0,1,0.507457268247168,0.9259259259259259,0.9259259259259259
2018,1,2018_01_HOU_NE,away,False,0.03844713939128473,-105.0,0,0.5384471393912847,0.9523809523809523,-1.0
2018,1,2018_01_TB_NO,away,False,0.03952533490637755,-108.0,1,0.5464968909576883,0.9259259259259259,0.9259259259259259
2018,1,2018_01_JAX_NYG,away,True,0.0033880077754025848,-117.0,1,0.5296095701525914,0.8547008547008547,0.8547008547008547
2018,1,2018_01_ATL_PHI,away,False,0.004783013138073549,-111.0,0,0.5187310908142385,0.9009009009009009,-1.0
2018,2,2018_02_CAR_ATL,home,True,0.017991566585335288,-108.0,1,0.524963122636646,0.9259259259259259,0.9259259259259259
2018,2,2018_02_LAC_BUF,home,False,0.017674248883864083,-115.0,0,0.5394714019087751,0.8695652173913043,-1.0
2018,2,2018_02_SEA_CHI,home,True,0.0015741974500967425,-108.0,1,0.5085457535014075,0.9259259259259259,0.9259259259259259
2018,2,2018_02_BAL_CIN,home,True,0.010576692870734393,-109.0,1,0.5198751260847377,0.9174311926605505,0.9174311926605505
2018,2,2018_02_NYG_DAL,away,False,0.008828263507449956,-108.0,0,0.5157998195587606,0.9259259259259259,-1.0
2018,2,2018_02_MIN_GB,away,True,0.026181235332220738,100.0,0,0.5145533283554766,1.0,-1.0
2018,2,2018_02_NE_JAX,away,True,0.005415531162343362,-110.0,0,0.5170434381390876,0.9090909090909091,-1.0
2018,2,2018_02_ARI_LA,home,True,0.023265634506741628,-100.0,1,0.5116377275299975,1.0,1.0
2018,2,2018_02_CLE_NO,away,False,0.010693755357768585,-108.0,1,0.5176653114090793,0.9259259259259259,0.9259259259259259
2018,2,2018_02_MIA_NYJ,away,False,0.021764217778857568,103.0,1,0.5022096400769134,1.03,1.03
2018,2,2018_02_KC_PIT,away,False,0.0029240976135823603,-108.0,1,0.5098956536648931,0.9259259259259259,0.9259259259259259
2018,2,2018_02_DET_SF,home,True,0.0020371461003569845,101.0,0,0.488089068424192,1.01,-1.0
2018,2,2018_02_PHI_TB,away,True,0.01859784029050575,106.0,0,0.492376277913317,1.06,-1.0
2018,2,2018_02_HOU_TEN,away,True,0.028168094701837863,103.0,0,0.5086135169998937,1.03,-1.0
2018,2,2018_02_IND_WAS,home,True,0.017328062600655197,-102.0,0,0.5103565065493446,0.9803921568627451,-1.0
2018,3,2018_03_CHI_ARI,away,True,0.0037210883666358436,-100.0,0,0.4910190098446959,1.0,-1.0
2018,3,2018_03_NO_ATL,home,True,0.01136892578393288,-110.0,0,0.521756737418282,0.9090909090909091,-1.0
2018,3,2018_03_DEN_BAL,home,True,0.003225056545374702,-104.0,1,0.5009020682532357,0.9615384615384616,0.9615384615384616
2018,3,2018_03_CIN_CAR,away,False,0.03776050939166056,106.0,0,0.5105634936893964,1.06,-1.0
2018,3,2018_03_NYJ_CLE,away,False,0.004690946774127944,103.0,0,0.4841200916063278,1.03,-1.0
2018,3,2018_03_NE_DET,away,True,0.030894894473527664,107.0,0,0.5005789252164824,1.07,-1.0
2018,3,2018_03_NYG_HOU,away,False,0.0010433762115958588,-109.0,1,0.509119802277684,0.9174311926605505,0.9174311926605505
2018,3,2018_03_TEN_JAX,away,False,0.0030605508296374594,-111.0,1,0.5157626293515774,0.9009009009009009,0.9009009009009009
2018,3,2018_03_SF_KC,home,True,0.002486488344497056,-108.0,1,0.5082537671116836,0.9259259259259259,0.9259259259259259
2018,3,2018_03_LAC_LA,home,True,0.008117342540643748,111.0,1,0.46847539880662836,1.11,1.11
2018,3,2018_03_BUF_MIN,away,False,0.04517621540616696,-108.0,1,0.5509434941733535,0.9259259259259259,0.9259259259259259
2018,3,2018_03_IND_PHI,away,False,0.015770771626112193,-103.0,1,0.5100034928589258,0.970873786407767,0.970873786407767
2018,3,2018_03_DAL_SEA,home,True,0.0024395870726866774,-108.0,1,0.5082068658398732,0.9259259259259259,0.9259259259259259
2018,3,2018_03_PIT_TB,away,False,0.015733313862484687,101.0,1,0.5007259932182679,1.01,1.01
2018,3,2018_03_GB_WAS,home,False,0.03757041753925521,-101.0,1,0.5271826059049062,0.9900990099009901,0.9900990099009901
2018,4,2018_04_SEA_ARI,home,False,0.005807262707452737,100.0,1,0.4931051841855128,1.0,1.0
2018,4,2018_04_CIN_ATL,home,True,0.005497619411332099,102.0,0,0.48717584035308054,1.02,-1.0
2018,4,2018_04_TB_CHI,away,False,0.010668634687876771,-127.0,0,0.5543963989539217,0.7874015748031497,-1.0
2018,4,2018_04_DET_DAL,away,False,0.010973537783646414,102.0,1,0.4936821449540222,1.02,1.02
2018,4,2018_04_KC_DEN,away,True,0.055854601655218175,102.0,1,0.5385632088255939,1.02,1.02
2018,4,2018_04_BUF_GB,away,False,0.01761112986127027,-103.0,0,0.5118438510940838,0.970873786407767,-1.0
2018,4,2018_04_HOU_IND,home,False,0.006577744631715135,-103.0,0,0.5019311204042165,0.970873786407767,-1.0
2018,4,2018_04_NYJ_JAX,away,False,0.006873357754924775,-121.0,0,0.5393266030794572,0.8264462809917356,-1.0
2018,4,2018_04_MIN_LA,home,True,0.012157143729170558,104.0,0,0.4893575679073254,1.04,-1.0
2018,4,2018_04_SF_LAC,away,False,0.01698643191740241,-118.0,1,0.5441834476196667,0.847457627118644,0.847457627118644
2018,4,2018_04_MIA_NE,home,True,0.00343401221379479,-108.0,1,0.5092012909809813,0.9259259259259259,0.9259259259259259
