week,n_picks,wins,losses,win_pct,units,cume_wins,cume_losses,cume_units
1,4,4,0,100.0,3.839091192032369,4,0,3.839091192032369
2,10,6,4,60.0,1.6275783040488925,10,4,5.466669496081261
3,6,4,2,66.7,1.7347211611917497,14,6,7.201390657273011
4,2,0,2,0.0,-2.0,14,8,5.201390657273011
5,6,2,4,33.3,-2.1547619047619047,16,12,3.0466287525111064
6,9,5,4,55.6,0.5776163572773747,21,16,3.624245109788481
7,7,3,4,42.9,-1.1385281385281383,24,20,2.485716971260343
8,4,1,3,25.0,-2.130434782608696,25,23,0.35528218865164707
9,3,3,0,100.0,2.782340208810797,28,23,3.137622397462444
10,6,3,3,50.0,-0.1649831649831648,31,26,2.9726392324792794
11,4,1,3,25.0,-2.090909090909091,32,29,0.8817301415701886
12,5,2,3,40.0,-1.2407407407407405,34,32,-0.3590105991705519
13,4,3,1,75.0,1.7590482833449586,37,33,1.4000376841744067
14,5,4,1,80.0,2.8586990351696238,41,34,4.25873671934403
15,7,6,1,85.7,4.617357043827632,47,35,8.876093763171664
16,5,2,3,40.0,-1.1385281385281383,49,38,7.737565624643525
17,3,1,2,33.3,-1.0909090909090908,50,40,6.6466565337344345
18,7,4,3,57.1,0.6305079783340655,54,43,7.2771645120685005
