week,n_picks,wins,losses,win_pct,units,cume_wins,cume_losses,cume_units
1,8,5,3,62.5,1.7942449707155594,5,3,1.7942449707155594
2,5,2,3,40.0,-1.0909090909090908,7,6,0.7033358798064686
3,5,2,3,40.0,-1.2001614205004034,9,9,-0.4968255406939348
4,5,2,3,40.0,-1.2213438735177866,11,12,-1.7181694142117214
5,5,3,2,60.0,0.766106442577031,14,14,-0.9520629716346904
6,4,3,1,75.0,1.904761904761905,17,15,0.9526989331272147
7,7,3,4,42.9,-1.169312169312169,20,19,-0.21661323618495443
8,5,1,4,20.0,-3.0,21,23,-3.2166132361849544
9,3,2,1,66.7,0.8350168350168352,23,24,-2.381596401168119
10,6,4,2,66.7,1.797619047619048,27,26,-0.5839773535490713
11,4,0,4,0.0,-4.0,27,30,-4.583977353549072
12,3,1,2,33.3,-1.0,28,32,-5.583977353549072
13,8,6,2,75.0,3.7334180312441183,34,34,-1.8505593223049535
14,5,3,2,60.0,0.6877470355731227,37,36,-1.162812286731831
15,7,5,2,71.4,2.7229437229437234,42,38,1.5601314362118925
16,8,4,4,50.0,-0.580078604765414,46,42,0.9800528314464786
17,3,1,2,33.3,-1.1304347826086958,47,44,-0.1503819511622172
18,8,5,3,62.5,1.5298220298220304,52,47,1.379440078659813
