season,n_games,favorite_cover_rate,underdog_cover_rate,z_vs_50pct
2010,251,0.4900398406374502,0.5099601593625498,-0.3156598376893727
2011,245,0.49387755102040815,0.5061224489795919,-0.19167733985173324
2012,251,0.47410358565737054,0.5258964143426295,-0.8216555083381837
2013,250,0.54,0.45999999999999996,1.2689783127114695
2014,250,0.48,0.52,-0.6329621044272922
2015,248,0.4596774193548387,0.5403225806451613,-1.2741513407647302
2016,250,0.512,0.488,0.3795826547713672
2017,245,0.5387755102040817,0.46122448979591835,1.2175322121339558
2018,247,0.46153846153846156,0.5384615384615384,-1.2125337501439264
2019,246,0.45934959349593496,0.540650406504065,-1.279388702256085
2020,256,0.4453125,0.5546875,-1.7605623918949536
2021,268,0.4664179104477612,0.5335820895522387,-1.1020134148156118
2022,261,0.4521072796934866,0.5478927203065134,-1.5546092386931918
2023,258,0.5310077519379846,0.46899224806201545,0.9980375266022051
2024,268,0.5335820895522388,0.46641791044776115,1.1020134148156135
2025,271,0.4833948339483395,0.5166051660516605,-0.5470128058963636
