season,week,game_id,home_team,away_team,fav_home,spread,Spread Pick,Odds,Pick Home?,Pick Result
2023-24,14,13,Cowboys,Eagles,1,-3.5,Cowboys,-110,1,1
2023-24,14,14,Dolphins,Titans,1,-13.5,Titans,-110,0,1
2023-24,14,15,Giants,Packers,0,6.5,Giants,-110,1,1
2023-24,15,6,Panthers,Falcons,0,3,Panthers,-110,1,1
2023-24,15,9,Browns,Bears,1,-3,Browns,-110,1,0.5
2023-25,15,10,Patriots,Chiefs,0,8.5,Patriots,-110,1,0
2023-24,15,12,Cardinals,49ers,0,12.5,Cardinals,-110,1,0
2023-24,15,13,Bills,Cowboys,1,-1.5,Bills,-110,1,1
2023-24,15,14,Jaguars,Ravens,0,3.5,Ravens,-110,0,1
2023-24,15,15,Seahawks,Eagles,0,3.5,Seahawks,-110,1,1
2023-24,16,1,Rams,Saints,1,-4.5,Rams,-110,1,1
2023-24,16,6,Texans,Browns,0,1.5,Texans,-110,1,0
2023-24,16,9,Titans,Seahawks,0,1.5,Titans,-110,1,0.5
2023-24,16,12,Dolphins,Cowboys,1,-1.5,Dolphins,-110,1,1
2023-24,16,14,Chiefs,Raiders,1,-10.5,Chiefs,-110,1,0
2023-24,16,16,49ers,Ravens,1,-6,49ers,-110,1,0
2023-24,17,1,Browns,Jets,1,-7.5,Browns,-110,1,1
2023-24,17,2,Cowboys,Lions,1,-4.5,Cowboys,-110,1,0
2023-24,17,3,Ravens,Dolphins,1,-3.5,Ravens,-110,1,1
2023-24,17,4,Texans,Titans,1,-4.5,Titans,-110,0,0
2023-24,17,5,Giants,Rams,0,4.5,Giants,-110,1,1
2023-24,17,6,Commanders,49ers,0,12.5,Commanders,-110,1,0
2023-24,17,7,Eagles,Cardinals,1,-11.5,Eagles,-110,1,0
2024-25,2,1,Dolphins,Bills,1,-2.5,Dolphins,-110,1,0
2024-25,2,3,Lions,Buccaneers,1,-7,Lions,-110,1,0
2024-25,2,4,Jaguars,Browns,1,-3.5,Browns,-110,0,1
2024-25,2,6,Panthers,Chargers,0,6.5,Panthers,-110,1,0
2024-25,2,10,Titans,Jets,0,3.5,Titans,-110,1,0
2024-25,3,2,Browns,Giants,1,-6.5,Giants,-110,0,1
2024-25,3,4,Vikings,Texans,0,2.5,Texans,-110,0,0
2024-25,3,5,Saints,Eagles,1,-2.5,Saints,-110,1,0
2024-25,3,7,Buccaneers,Broncos,1,-6.5,Broncos,-110,0,1
2024-25,3,12,Cowboys,Ravens,0,1.5,Ravens,-110,0,1
2024-25,3,15,Bills,Jaguars,1,-4.5,Bills,-110,1,1
2024-25,3,16,Bengals,Commanders,1,-7.5,Commanders,-110,0,1
2024-25,4,1,Giants,Cowboys,0,5.5,Giants,-110,1,1
2024-25,4,2,Panthers,Bengals,0,4.5,Bengals,-110,0,1
2024-25,4,3,Jets,Broncos,1,-7.5,Broncos,-110,0,1
2024-25,4,4,Falcons,Saints,1,-1.5,Falcons,-110,1,1
2024-25,4,5,Packers,Vikings,1,-2.5,Packers,-110,1,0
2024-25,4,6,Texans,Jaguars,1,-6.5,Jaguars,-110,0,1
2024-25,4,7,Colts,Steelers,0,1.5,Colts,-110,1,1
2024-25,5,1,Falcons,Buccaneers,1,-1.5,Falcons,-110,1,1
2024-25,5,3,Bengals,Ravens,0,2.5,Ravens,-110,0,1
2024-25,5,4,Bears,Panthers,1,-3.5,Panthers,-110,0,0
2024-25,5,5,Texans,Bills,0,1.5,Bills,-110,0,0
2024-25,5,14,Chiefs,Saints,1,-5.5,Chiefs,-110,1,1
2024-25,6,1,Seahawks,49Ers,0,3.5,49Ers,-110,0,1
2024-25,6,3,Ravens,Commanders,1,-6.5,Ravens,-110,1,1
2024-25,6,5,Eagles,Browns,1,-9.5,Browns,-110,0,1
2024-25,6,7,Patriots,Texans,0,7,Patriots,-110,1,0
2024-25,6,8,Packers,Cardinals,1,-4.5,Packers,-110,1,1
2024-25,6,10,Raiders,Steelers,0,3,Raiders,-110,1,0
2024-25,7,1,Saints,Broncos,0,2.5,Broncos,-110,0,1
2024-25,7,6,Falcons,Seahawks,1,-3,Falcons,-110,1,0
2024-25,7,7,Packers,Texans,1,-2.5,Packers,-110,1,0
2024-25,7,9,Colts,Dolphins,1,-3,Dolphins,-110,0,0
2024-25,7,12,49Ers,Chiefs,1,-1.5,49Ers,-110,1,0
2024-25,7,14,Buccaneers,Ravens,0,3.5,Ravens,-110,0,1
2024-25,7,14,Cardinals,Chargers,0,2.5,Cardinals,-110,1,1
2024-25,8,3,Patriots,Jets,0,7,Patriots,-110,1,1
2024-25,8,9,Lions,Titans,1,-11.5,Titans,-110,0,0
2024-25,8,11,Seahawks,Bills,0,3,Bills,-110,0,1
2024-25,8,14,Raiders,Chiefs,0,9.5,Raiders,-110,1,1
2024-25,8,16,Steelers,Giants,1,-6.5,Giants,-110,0,0
2024-25,9,8,Falcons,Cowboys,1,-2.5,Falcons,-110,1,1
2024-25,9,10,Cardinals,Bears,1,-1.5,Cardinals,-110,1,1
2024-25,9,12,Seahawks,Rams,0,1.5,Rams,-110,0,1
2024-25,9,15,Chiefs,Buccaneers,1,-8.5,Chiefs,-110,1,0
2024-25,10,1,Ravens,Bengals,1,-5.5,Ravens,-110,1,0
2024-25,10,3,Bears,Patriots,1,-6.5,Patriots,-110,0,1
2024-25,10,9,Commanders,Steelers,1,-2.5,Commanders,-110,1,0
2024-25,11,1,Eagles,Commanders,1,-3.5,Eagles,-110,1,1
2024-25,11,3,Bears,Packers,0,5.5,Packers,-110,0,0
2024-25,11,6,Titans,Vikings,0,5.5,Titans,-110,1,0
2024-25,11,10,49Ers,Seahawks,1,-6.5,49Ers,-110,1,0
2024-25,11,11,Broncos,Falcons,1,-2.5,Falcons,-110,0,0
2024-25,12,1,Browns,Steelers,0,3.5,Browns,-110,1,1
2024-25,12,9,Raiders,Broncos,0,6.5,Raiders,-110,1,0
2024-25,12,11,Seahawks,Cardinals,0,1.5,Cardinals,-110,0,0
2024-25,12,12,Rams,Eagles,0,2.5,Rams,-110,1,0
2024-25,12,13,Chargers,Ravens,0,3,Ravens,-110,0,1
2024-25,13,1,Lions,Bears,1,-9.5,Lions,-110,1,0
2024-25,13,2,Cowboys,Giants,1,-3.5,Giants,-110,0,0
2024-25,13,6,Patriots,Colts,0,2.5,Patriots,-110,1,1
